,customer_id,first_name,last_name,email,phone_number,member_since,DOB
0,CAP1,Ashley,Patterson,ashley.patterson@participant.edu,+10404428040,2021,1981-01-17
1,CAF2,Alexis,Ford,alexis.ford@gmail.com,+14134821334,2022,1985-12-23
2,CMV3,Madison,Valdez,madison.valdez@yahoo.com,+16001933835,2021,2004-01-24
3,CAH4,Austin,Henry,austin.henry@yahoo.com,+10581240486,2021,1991-10-07
4,CJC5,John,Cisneros,john.cisneros@gmail.com,+11536170189,2021,1986-09-23
5,CBD6,Bradley,Dalton,bradley.dalton@yahoo.com,+14615823691,2023,1997-06-17
6,CMF7,Michael,Fisher,michael.fisher@yahoo.com,+17325082241,2021,1989-07-29
7,CEB8,Emily,Bryant,emily.bryant@rich.edu,+18792441681,2020,1990-10-31
8,CKC9,Kevin,Cox,kevin.cox@loss.edu,+13375098840,2022,1991-08-31
9,CKH10,Katrina,Haas,katrina.haas@gmail.com,+11687187932,2020,1993-02-04
10,CCW11,Christina,Williams,christina.williams@yahoo.com,+14691266658,2021,1988-03-27
11,CJL12,Joe,Lee,joe.lee@gmail.com,+18948780979,2022,1982-01-28
12,CKD13,Kevin,Diaz,kevin.diaz@gmail.com,+16159130120,2022,1999-06-03
13,CJE14,John,Estrada,john.estrada@yahoo.com,+18787472517,2023,1983-06-22
14,CRB15,Ryan,Brown,ryan.brown@gmail.com,+14438177833,2021,1989-11-14
15,CMS16,Mark,Shaw,mark.shaw@gmail.com,+16265524374,2021,1988-02-20
16,CJG17,Jeffrey,Gutierrez,jeffrey.gutierrez@yahoo.com,+15053791645,2020,2000-10-16
17,CAT18,Anthony,Turner,anthony.turner@policy.edu,+18033762110,2023,1990-08-14
18,CDF19,Diane,Ferguson,diane.ferguson@gmail.com,+15045998533,2020,1979-10-28
19,CCC20,Christopher,Cruz,christopher.cruz@gmail.com,+15879306058,2021,2000-05-03
20,CNB21,Neil,Burke,neil.burke@yahoo.com,+16116890953,2021,2007-07-10
21,CTM22,Tamara,Mejia,tamara.mejia@yahoo.com,+15318767918,2022,2005-08-24
22,CGA23,Garrett,Aguirre,garrett.aguirre@yourself.edu,+15306086149,2021,1989-07-27
23,CMW24,Michael,Waller,michael.waller@like.edu,+13003901631,2023,1972-08-14
24,CJH25,John,Hill,john.hill@yahoo.com,+15431147478,2023,1982-09-16
25,CAH26,Alejandra,Hancock,alejandra.hancock@gmail.com,+15458309117,2022,1978-04-26
26,CSM27,Stephen,Martin,stephen.martin@range.edu,+12683966501,2020,1990-11-27
27,CST28,Sherry,Thompson,sherry.thompson@yahoo.com,+16064532391,2020,1980-07-07
28,CTB29,Timothy,Bailey,timothy.bailey@learn.edu,+10406481034,2023,1993-11-13
29,CJG30,Jeffrey,Gardner,jeffrey.gardner@gmail.com,+12282265450,2023,1986-10-17
30,CMF31,Martin,Flores,martin.flores@gmail.com,+10079130466,2023,1993-11-02
31,CJS32,Jose,Sullivan,jose.sullivan@cold.edu,+11754134976,2023,1996-02-04
32,CPK33,Peter,Kane,peter.kane@yahoo.com,+12002937526,2022,1990-08-21
33,CPD34,Patricia,Doyle,patricia.doyle@gmail.com,+15674576665,2022,1995-07-05
34,CJO35,Joseph,Olson,joseph.olson@gmail.com,+13648361281,2020,1981-03-26
35,CBB36,Bryan,Burns,bryan.burns@gmail.com,+10648873614,2021,1990-02-20
36,CRT37,Rachael,Taylor,rachael.taylor@gmail.com,+14225659516,2022,1988-06-30
37,CBR38,Brenda,Ryan,brenda.ryan@might.edu,+19146953779,2023,1994-05-26
38,CJH39,Jacqueline,Hansen,jacqueline.hansen@gmail.com,+10032456919,2021,1981-08-24
39,CTP40,Tanya,Perry,tanya.perry@yahoo.com,+13773619213,2021,1997-07-22
40,CMG41,Monica,Gonzales,monica.gonzales@attention.edu,+14867107165,2023,1986-06-02
41,CBD42,Brent,Davis,brent.davis@boy.edu,+13099463622,2022,1994-07-04
42,CCB43,Charlene,Bass,charlene.bass@gmail.com,+10433286542,2023,1999-03-20
43,CTE44,Todd,Ellis,todd.ellis@gmail.com,+18491178595,2020,1995-08-13
44,CKL45,Kim,Livingston,kim.livingston@yahoo.com,+15809788309,2020,1998-02-19
